URL_Scrapped,Website_Address,Full_Address,Street_Number,Street_Name,Zipcode,State,City,County,Timestamp,Latitude,Longitude,Beds,Bath,Price,Available,Note
https://www.blackbearwnc.com/rentals,,,,,,,,,2024-10-24 17:10:20,,,,,,,Room details retrieval failed
https://www.pattonallenpm.com/for-rent/,"187 Swannanoa Ave, Asheville, NC 28806","187 Swannanoa Avenue, Asheville, NC 28806, United States of America",187.0,Swannanoa Avenue,28806.0,North Carolina,Asheville,Buncombe County,2024-10-24 17:09:55,35.5718904,-82.576831,,,"$2,500",Now,Data processed successfully
https://www.pattonallenpm.com/for-rent/,"731 Macedonia Rd, Asheville, NC 28804-9650","731 Macedonia Rd, Asheville, NC, United States of America",731.0,Macedonia Rd,,North Carolina,Asheville,,2024-10-24 17:09:55,35.650303,-82.62746,,,"$1,350",Now,Data processed successfully
https://www.pattonallenpm.com/for-rent/,"33 Starnes Ave Apt 3, Asheville, NC 28801","33 Starnes Avenue, Asheville, NC 28801, United States of America",33.0,Starnes Avenue,28801.0,North Carolina,Asheville,Buncombe County,2024-10-24 17:09:55,35.600014,-82.5571439,,,"$1,325",Now,Data processed successfully
https://www.pattonallenpm.com/for-rent/,"7 Night Owl Haven, Fletcher, NC 28732","Knight St, Robbinsville, NC, United States of America",,Knight St,,North Carolina,Robbinsville,,2024-10-24 17:09:55,35.325381,-83.810758,,,"$2,200",12/12/2024,Data processed successfully
https://www.pattonallenpm.com/for-rent/,"114.5 Clingman Ave, Asheville, NC 28801","Clingman Avenue, Asheville, NC 28801, United States of America",,Clingman Avenue,28801.0,North Carolina,Asheville,Buncombe County,2024-10-24 17:09:55,35.5932306,-82.5624436,,,"$2,100",Now,Data processed successfully
https://www.pattonallenpm.com/for-rent/,"11 Jeff Dr, Asheville, NC 28806-8858","11 Jeff Drive, Asheville, NC 28806, United States of America",11.0,Jeff Drive,28806.0,North Carolina,Asheville,Buncombe County,2024-10-24 17:09:55,35.5404693,-82.6007071,,,"$1,450",Now,Data processed successfully
https://www.pattonallenpm.com/for-rent/,"64 Mildred Ave Unit 1/2, Asheville, NC 28806","64 Mildred Avenue, Asheville, NC 28806, United States of America",64.0,Mildred Avenue,28806.0,North Carolina,Asheville,Buncombe County,2024-10-24 17:09:55,35.5811359,-82.5946201,,,"$1,200",Now,Data processed successfully
https://www.pattonallenpm.com/for-rent/,"61 Haywood Rd, Asheville, NC 28806","61 Haywood Road, Asheville, NC 28806, United States of America",61.0,Haywood Road,28806.0,North Carolina,Asheville,Buncombe County,2024-10-24 17:09:55,35.5817481,-82.5725234,,,"$3,200",Now,Data processed successfully
https://www.pattonallenpm.com/for-rent/,"205 Laurel Ridge Road, Asheville, NC 28805","205 Laurel Ridge Rd, Asheville, NC, United States of America",205.0,Laurel Ridge Rd,,North Carolina,Asheville,,2024-10-24 17:09:55,35.62871,-82.472821,,,"$3,200",11/1/2024,Data processed successfully
