URL_Scrapped,Website_Address,Street_Number,Street_Name,Zipcode,State,City,County,Timestamp,Latitude,Longitude,Beds,Bath,Price,Available,Note
https://www.lakejamesrentalproperties.com/vacation-rentals/,362 Captains Dr. Nebo NC 28761,,,,,,,2024-10-24 16:38:42,,,,,,,Data processed successfully
https://www.lakejamesrentalproperties.com/vacation-rentals/,"8426 Lake James Rd, Nebo, NC – Dales Creek Cove",,,,,,,2024-10-24 16:38:42,,,,,,,Data processed successfully
https://www.lakejamesrentalproperties.com/vacation-rentals/,2226 Mallard Cove,,,,,,,2024-10-24 16:38:42,,,,,,,Data processed successfully
https://www.lakejamesrentalproperties.com/vacation-rentals/,486 Harborside Dr,,,,,,,2024-10-24 16:38:42,,,,,,,Data processed successfully
https://www.lakejamesrentalproperties.com/vacation-rentals/,178 Harborside Dr,,,,,,,2024-10-24 16:38:42,,,,,,,Data processed successfully
https://www.lakejamesrentalproperties.com/vacation-rentals/,612 Lake View Hills,,,,,,,2024-10-24 16:38:42,,,,,,,Data processed successfully
https://www.lakejamesrentalproperties.com/vacation-rentals/,698 Harborside Drive,,,,,,,2024-10-24 16:38:42,,,,,,,Data processed successfully
https://www.lakejamesrentalproperties.com/vacation-rentals/,Queens Pond Bee Tree Ave,,,,,,,2024-10-24 16:38:42,,,,,,,Data processed successfully
https://www.lakejamesrentalproperties.com/vacation-rentals/,435 Dockside,,,,,,,2024-10-24 16:38:42,,,,,,,Data processed successfully
https://www.lakejamesrentalproperties.com/vacation-rentals/,Blackberry Creek Cabin near Lake James,,,,,,,2024-10-24 16:38:42,,,,,,,Data processed successfully
https://www.lakejamesrentalproperties.com/vacation-rentals/,79 Clear Sail Way,,,,,,,2024-10-24 16:38:42,,,,,,,Data processed successfully
https://www.lakejamesrentalproperties.com/vacation-rentals/,1450 Pisgah Preserve,,,,,,,2024-10-24 16:38:42,,,,,,,Data processed successfully
https://www.lakejamesrentalproperties.com/vacation-rentals/,Drug Store Loft suite 201,,,,,,,2024-10-24 16:38:42,,,,,,,Data processed successfully
https://www.lakejamesrentalproperties.com/vacation-rentals/,Drug Store Loft suite 202,,,,,,,2024-10-24 16:38:42,,,,,,,Data processed successfully
https://www.carolinamtn.com/,,,,,,,,2024-10-24 16:33:57,,,,,,,Room link retrieval failed
https://teamprism.com/,,,,,,,,2024-10-24 16:33:35,,,,,,,Room link retrieval failed
https://www.asherentalagency.com/vacancies,"329 Academy St - #201, Jefferson, NC 28640",,,,,,,2024-10-24 16:32:58,,,,,"$1,400",11/08/2024,Data processed successfully
https://www.asherentalagency.com/vacancies,"417 Will Vannoy Rd - #1 Upper, West Jefferson, NC 28694",,,,,,,2024-10-24 16:32:58,,,,,"$1,400",12/09/2024,Data processed successfully
https://www.asherentalagency.com/vacancies,"12442 NC Hwy 88 W - Unit C, Creston, NC 28615",,,,,,,2024-10-24 16:32:58,,,,,$650,NOW,Data processed successfully
https://www.asherentalagency.com/vacancies,"533 Ashe Central School Rd, Jefferson, NC 28640",,,,,,,2024-10-24 16:32:58,,,,,"$2,500",NOW,Data updated successfully
https://www.asherentalagency.com/vacancies,"101 A N Jefferson Ave, West Jefferson, NC 28694",,,,,,,2024-10-24 16:32:58,,,,,"$1,400",NOW,Data updated successfully
https://www.asherentalagency.com/vacancies,"123 Buck Mtn Cir, West Jefferson, NC 28694",,,,,,,2024-10-24 16:32:58,,,,,"$1,500",NOW,Data updated successfully
https://www.asherentalagency.com/vacancies,"N Third Ave - Lot, West Jefferson, NC 28694",,,,,,,2024-10-24 16:32:58,,,,,$200,NOW,Data processed successfully
http://www.thebayshorecompany.net/asheville-nc/rentals/,,,,,,,,2024-10-24 16:32:34,,,,,,,Room details retrieval failed
https://allisonwhiteproperties.com/,,,,,,,,2024-10-24 16:32:13,,,,,,,Room link retrieval failed
https://www.rentahomeasheville.com/homes-for-rent-asheville,"184 E. Chestnut Street #4 Asheville, NC 28801",,,,,,,2024-10-24 16:32:07,,,,,,,Data processed successfully
https://www.whitneycre.com/,,,,,,,,2024-10-24 16:31:53,,,,,,,Room link retrieval failed
http://wmdouglasasheville.com/,,,,,,,,2024-10-24 16:31:30,,,,,,,No unique URLs found
https://www.petekey.com/vacation-rentals/results/,Near Brevard College,,,,,,,2024-10-24 16:31:26,,,,,$53/night,AVAILABLE NOW,Data processed successfully
https://www.petekey.com/vacation-rentals/results/,On 42 Acre Mountain Top,,,,,,,2024-10-24 16:31:26,,,,,$155/night,AVAILABLE NOW,Data processed successfully
https://www.petekey.com/vacation-rentals/results/,Near Brevard,,,,,,,2024-10-24 16:31:26,,,,,$76/night,AVAILABLE NOW,Data processed successfully
https://www.petekey.com/vacation-rentals/results/,Near Downtown Old Fort,,,,,,,2024-10-24 16:31:26,,,,,$97/night,AVAILABLE NOW,Data processed successfully
https://www.petekey.com/vacation-rentals/results/,Near Brevard,,,,,,,2024-10-24 16:31:26,,,,,$150/night,AVAILABLE NOW,Data processed successfully
https://www.petekey.com/vacation-rentals/results/,,,,,,,,2024-10-24 16:31:26,,,,,$49/night,AVAILABLE NOW,Data updated successfully
https://www.petekey.com/vacation-rentals/results/,Near Brevard,,,,,,,2024-10-24 16:31:26,,,,,$60/night,AVAILABLE NOW,Data processed successfully
https://www.petekey.com/vacation-rentals/results/,In Gateway Nature Preserve,,,,,,,2024-10-24 16:31:26,,,,,$85/night,AVAILABLE NOW,Data processed successfully
https://www.petekey.com/vacation-rentals/results/,Near Brevard,,,,,,,2024-10-24 16:31:26,,,,,$81/night,AVAILABLE NOW,Data processed successfully
https://www.petekey.com/vacation-rentals/results/,Near Brevard,,,,,,,2024-10-24 16:31:26,,,,,$48/night,AVAILABLE NOW,Data processed successfully
https://www.petekey.com/vacation-rentals/results/,Near DT Brevard,,,,,,,2024-10-24 16:31:26,,,,,$42/night,,Data processed successfully
https://www.petekey.com/vacation-rentals/results/,In Gateway Nature Preserve,,,,,,,2024-10-24 16:31:26,,,,,$102/night,AVAILABLE NOW,Data processed successfully
https://www.petekey.com/vacation-rentals/results/,In DT Brevard,,,,,,,2024-10-24 16:31:26,,,,,$51/night,AVAILABLE NOW,Data processed successfully
https://www.petekey.com/vacation-rentals/results/,Near Brevard,,,,,,,2024-10-24 16:31:26,,,,,$56/night,AVAILABLE NOW,Data processed successfully
https://www.petekey.com/vacation-rentals/results/,Near Asheville,,,,,,,2024-10-24 16:31:26,,,,,$87/night,AVAILABLE NOW,Data updated successfully
https://www.petekey.com/vacation-rentals/results/,In DT Brevard,,,,,,,2024-10-24 16:31:26,,,,,$60/night,AVAILABLE NOW,Data processed successfully
https://www.petekey.com/vacation-rentals/results/,Near Brevard,,,,,,,2024-10-24 16:31:26,,,,,$94/night,AVAILABLE NOW,Data processed successfully
https://www.petekey.com/vacation-rentals/results/,In Downtown Brevard,,,,,,,2024-10-24 16:31:26,,,,,$67/night,AVAILABLE NOW,Data processed successfully
